,0,1,2,3,4,5,6,7
41,15-09-2018,3.8,3.4,SW,283,268,-39.48771,173.93829
42,26-08-2018,4.8,3.8,N,283,252,-28.80802,18.5282
43,17-09-2018,3.3,3.2,NE,261,255,-42.33134,-95.50534
44,30-08-2018,3.4,4.4,SE,295,259,-36.61343,174.89608
45,15-09-2018,3.8,3.4,N,293,245,-69.20203,37.42486
46,14-09-2018,5.3,5.3,SW,290,262,-52.36758,14.4049
47,24-09-2018,4.8,3.4,SW,258,252,-85.3878,-52.66529
48,9/9/2018,3.4,5.3,NE,281,257,9.692,-79.11286
49,17-09-2018,3.3,3.3,SE,270,257,-5.90988,-54.97792
50,27-08-2018,3.8,3.4,W,288,267,-84.00864,134.03811
51,21-09-2018,3.3,3.4,E,285,259,-45.59297,72.41412
52,26-08-2018,3.4,4.4,S,275,245,57.03522,53.10293
53,31-08-2018,3.3,3.2,SW,289,270,-67.56822,115.5463
54,14-09-2018,5.6,4.8,SE,276,240,42.68432,46.69202
55,17-09-2018,3.4,3.3,NW,261,245,-63.87719,38.78073
56,11/9/2018,3.3,3.4,N,258,242,-86.66303,-57.00477
57,21-09-2018,5.3,3.4,N,254,246,-48.49925,10.02033
58,28-08-2018,4.4,4.4,NE,258,255,-82.51482,-93.96831
59,6/9/2018,3.4,3.3,E,296,261,-24.93292,-74.15925
60,14-09-2018,3.2,3.8,E,254,263,-27.48014,-10.5388
61,16-09-2018,3.8,4.4,W,255,243,80.87091,2.66024
62,17-09-2018,3.3,3.8,N,295,260,-38.22465,95.31468
63,6/9/2018,3.4,3.3,E,285,262,-47.48332,-57.4376
64,15-09-2018,5.6,3.8,SE,291,242,-10.68683,-15.83232
65,11/9/2018,4.8,3.8,NE,300,242,10.92465,-113.06737
66,3/9/2018,3.8,3.3,N,294,250,-29.11666,-96.08855
67,24-08-2018,3.4,3.8,S,266,253,-5.26292,97.45715
68,18-09-2018,3.8,3.4,W,274,248,-35.83073,-107.99467
69,24-08-2018,3.8,3.2,SW,284,244,-0.50349,8.77276
70,9/9/2018,3.4,4.8,NW,258,248,-25.32111,124.05498
71,1/9/2018,5.3,4.4,SE,269,240,22.75108,-111.55596
72,6/9/2018,4.8,4.4,N,250,246,-64.43362,-136.23138
73,12/9/2018,3.8,3.4,E,254,256,79.7934,-37.4621
74,2/9/2018,5.3,3.4,SE,261,251,-35.10748,105.7359
75,20-09-2018,3.3,3.3,N,273,245,4.23107,137.5013
76,18-09-2018,3.3,5.6,SW,289,249,36.35597,-55.29107
77,24-09-2018,4.4,4.8,S,296,254,84.19113,44.4269
78,15-09-2018,3.4,3.2,S,294,241,70.69186,57.66945
79,17-09-2018,4.8,3.4,NW,292,269,-8.99088,5.49389
80,28-08-2018,3.4,3.4,W,262,261,24.79187,16.16538
81,19-09-2018,3.4,4.4,NW,298,258,73.0574,77.69623
82,23-09-2018,3.4,5.6,E,284,256,62.06567,-138.1679
83,14-09-2018,4.8,3.4,NW,268,245,-72.27819,37.15311
84,1/9/2018,5.6,5.6,N,275,269,-66.86256,65.84532
85,2/9/2018,3.8,4.8,NE,265,240,-86.07741,45.32852
86,19-09-2018,3.3,5.6,W,274,251,85.33591,-134.10639
87,29-08-2018,3.3,3.3,NE,280,247,-43.0469,128.57348
88,25-08-2018,5.6,3.4,S,250,267,73.41587,105.08816
89,15-09-2018,3.4,5.6,E,293,247,41.46437,44.68242
90,14-09-2018,3.4,3.3,SW,280,253,37.76654,113.7569
91,24-08-2018,3.4,5.3,SW,290,249,-74.05264,95.14618
92,18-09-2018,4.4,3.3,SW,280,256,-54.41661,98.37969
93,3/9/2018,4.4,4.4,S,300,249,76.17671,-114.60044
94,29-08-2018,3.4,3.8,NW,254,241,77.35906,25.07907
95,26-08-2018,3.4,5.3,N,274,261,53.07821,165.5654
96,21-09-2018,3.8,4.8,S,266,255,84.15554,-3.80632
97,31-08-2018,5.3,5.3,N,253,261,-32.28067,-93.7373
98,28-08-2018,3.4,4.4,NW,279,259,38.87995,140.14888
